2025-05-22T22:26:02.234348 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.234348 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:26:02.236355 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:26:02.237354 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.238629 - {'timestamp': '2025-05-21 13:00:00', 'username': 'gustavo', 'ip_address': '192.168.0.25', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.238629 - {'timestamp': '2025-05-21 17:20:00', 'username': 'ricardo', 'ip_address': '192.168.0.27', 'port': '3389', 'status': 'success'}
2025-05-22T22:26:02.240627 - {'timestamp': '2025-05-21 09:00:00', 'username': 'sofia', 'ip_address': '192.168.0.32', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.241627 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.242632 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:26:02.242632 - {'timestamp': '2025-05-21 08:20:00', 'username': 'enzo', 'ip_address': '192.168.0.41', 'port': '3389', 'status': 'success'}
2025-05-22T22:26:02.244630 - {'timestamp': '2025-05-21 15:40:00', 'username': 'samuel', 'ip_address': '192.168.0.46', 'port': '22', 'status': 'failed'}
2025-05-22T22:26:02.244630 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:26:02.246627 - {'timestamp': '2025-05-21 17:05:00', 'username': 'cecilia', 'ip_address': '192.168.0.53', 'port': '22', 'status': 'success'}
2025-05-22T22:26:02.246627 - {'timestamp': '2025-05-21 13:40:00', 'username': 'clara', 'ip_address': '192.168.0.55', 'port': '3389', 'status': 'success'}
2025-05-22T22:26:02.248627 - {'timestamp': '2025-05-21 21:30:00', 'username': 'bernardo', 'ip_address': '192.168.0.60', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.557437 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.558438 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:24.559437 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:29:24.560438 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.561437 - {'timestamp': '2025-05-21 13:00:00', 'username': 'gustavo', 'ip_address': '192.168.0.25', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.562437 - {'timestamp': '2025-05-21 17:20:00', 'username': 'ricardo', 'ip_address': '192.168.0.27', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:24.563438 - {'timestamp': '2025-05-21 09:00:00', 'username': 'sofia', 'ip_address': '192.168.0.32', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.565442 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.566437 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:29:24.566437 - {'timestamp': '2025-05-21 08:20:00', 'username': 'enzo', 'ip_address': '192.168.0.41', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:24.568438 - {'timestamp': '2025-05-21 15:40:00', 'username': 'samuel', 'ip_address': '192.168.0.46', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:24.568438 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:24.570438 - {'timestamp': '2025-05-21 17:05:00', 'username': 'cecilia', 'ip_address': '192.168.0.53', 'port': '22', 'status': 'success'}
2025-05-22T22:29:24.571438 - {'timestamp': '2025-05-21 13:40:00', 'username': 'clara', 'ip_address': '192.168.0.55', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:24.572438 - {'timestamp': '2025-05-21 21:30:00', 'username': 'bernardo', 'ip_address': '192.168.0.60', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.536967 - {'timestamp': '2025-05-21 22:30:00', 'username': 'joao', 'ip_address': '192.168.0.10', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.537971 - {'timestamp': '2025-05-21 03:00:00', 'username': 'ana', 'ip_address': '192.168.0.14', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:31.538969 - {'timestamp': '2025-05-21 01:30:00', 'username': 'patricia', 'ip_address': '192.168.0.18', 'port': '22', 'status': 'success'}
2025-05-22T22:29:31.539969 - {'timestamp': '2025-05-21 05:40:00', 'username': 'amanda', 'ip_address': '192.168.0.20', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.540969 - {'timestamp': '2025-05-21 13:00:00', 'username': 'gustavo', 'ip_address': '192.168.0.25', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.541969 - {'timestamp': '2025-05-21 17:20:00', 'username': 'ricardo', 'ip_address': '192.168.0.27', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:31.542970 - {'timestamp': '2025-05-21 09:00:00', 'username': 'sofia', 'ip_address': '192.168.0.32', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.543970 - {'timestamp': '2025-05-21 04:45:00', 'username': 'helena', 'ip_address': '192.168.0.34', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.544969 - {'timestamp': '2025-05-21 00:30:00', 'username': 'arthur', 'ip_address': '192.168.0.39', 'port': '22', 'status': 'success'}
2025-05-22T22:29:31.545972 - {'timestamp': '2025-05-21 08:20:00', 'username': 'enzo', 'ip_address': '192.168.0.41', 'port': '3389', 'status': 'success'}
2025-05-22T22:29:31.546969 - {'timestamp': '2025-05-21 15:40:00', 'username': 'samuel', 'ip_address': '192.168.0.46', 'port': '22', 'status': 'failed'}
2025-05-22T22:29:31.547971 - {'timestamp': '2025-05-21 19:10:00', 'username': 'thiago', 'ip_address': '192.168.0.48', 'port': '3389', 'status': 'failed'}
2025-05-22T22:29:31.548971 - {'timestamp': '2025-05-21 17:05:00', 'username': 'cecilia', 'ip_address': '192.168.0.53', 'port': '22', 'status': 'success'}
2025-05-22T22:29:31.549969 - {'timestamp': '2025-05-21 13:40:00', 'username': 'clara', 'ip_address': '192.168.0.55', 'port': '3389', 'status': 'success'}
